id,modelo,preco
1,Fiat Strada,43.115 
2,Fiat Argo,47.660 
3,Fiat Mobi,32.102 
4,Jeep Compass,34.950 
5,Hyundai HB20,49.302 
6,Jeep Renegade,36.661 
7,Volkswagen T-Cross,38.182 
8,Fiat Toro,57.733 
9,Hyundai Creta,55.998 
10,Chevrolet S10,51.035 
11,Toyota Corolla Cross,34.544 
12,Toyota Hilux,53.937 
13,Toyota Corolla,55.022 
14,Volkswagen Gol,48.253 
15,Honda HR-V,53.438 
16,Renault Kwid,31.810 
17,Volkswagen Nivus,35.104 
18,Hyundai HB20S,31.855 
19,Ford Ranger,48.927 
20,Fiat Uno,38.111 
21,Fiat Cronos,36.515 
22,Citroen C4 Cactus,53.654 
23,Toyota Yaris Hatchback,55.869 
24,Volkswagen Voyage,30.954 
25,Honda Civic,30.871 
26,Volkswagen Saveiro,32.306 
27,Caoa Chery Tiggo 5x,30.069 
28,Volkswagen Virtus,40.689 
29,Fiat Grand Siena,33.469 
30,Caoa Chery Tiggo 8,48.481 
31,Chevrolet Tracker,30.648 
32,Peugeot 208,46.934 
33,Toyota SW4,54.252 
34,Nissan Frontier,32.596 
35,Honda WR-V,35.139 
36,Volkswagen Taos,47.546 
37,Mitsubishi L200,57.049 
38,Renault Oroch,48.756 
39,Toyota Yaris Sedan,43.077 
40,Renault Duster,52.641 
